,agency_ambiguous,agency_anthropogenic,agency_nonanthropogenic,alteration_fauna,alteration_flora,alteration_human_bodies,antisocial_into_prosocial,authoritarianism_ableist,authoritarianism_ageism,authoritarianism_androcentrism,authoritarianism_cultural,authoritarianism_health,authoritarianism_market,authoritarianism_racism,authoritarianism_religion,authoritarianism_reproduction,authoritarianism_social,authoritarianism_technological,censorship,conflict_economic,conflict_information,conflict_intrapolity,depletion_biosphere,event_subversion,familism,government_corporate,government_degradation,government_military,government_nonhuman,government_oligarchical,kernel_extrasocietal,kernel_inconclusive,kernel_intrasocietal,kernel_natural,kernel_nonspecified,ontological_alteration,population_decline,prosocial_into_antisocial,scale_continental,scale_local,scale_multiplanetary,scale_multiversal,scale_planetary,segregationism_social,type_environmental,type_metaphysical,type_subversion,type_war,use_of_force_civilians
government_oligarchical,1,5,1,0,0,1,0,0,1,0,0,2,3,0,0,2,6,0,2,1,4,0,0,0,0,0,0,0,0,7,3,0,3,1,0,0,1,1,0,2,0,0,5,2,0,1,6,0,1
kernel_extrasocietal,2,5,5,0,0,1,2,0,0,0,1,2,1,0,0,0,6,0,4,0,5,5,0,1,2,0,2,2,0,3,12,0,0,0,0,1,2,7,1,6,1,0,4,1,1,2,5,3,3
kernel_inconclusive,6,4,0,4,2,1,1,0,0,0,2,0,0,0,1,0,5,0,2,0,2,5,1,0,1,0,1,0,1,0,0,10,0,0,0,0,2,7,1,2,0,0,7,1,2,1,5,2,1
kernel_intrasocietal,8,31,1,1,0,2,7,1,1,3,9,1,13,1,1,1,26,2,11,1,15,12,0,1,4,1,4,1,3,3,0,0,40,0,0,1,8,19,4,15,1,1,19,5,2,3,20,14,8
kernel_natural,3,0,3,1,1,1,0,0,0,0,1,2,3,0,0,1,1,0,0,0,1,1,1,0,0,0,4,0,1,1,0,0,0,6,0,1,2,2,1,2,0,0,3,0,3,0,3,0,2
kernel_nonspecified,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,1,1,0,0
ontological_alteration,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,0,1,0,1,1,0,3,0,0,1,0,1,0,1,0,1,0,0,1,0
population_decline,6,6,2,1,1,0,0,0,0,0,2,0,3,0,0,0,11,0,4,0,7,2,0,0,0,0,4,0,0,1,2,2,8,2,0,0,14,7,4,4,0,0,6,0,1,0,8,5,2
prosocial_into_antisocial,12,18,6,4,1,1,10,0,0,2,4,4,0,2,1,0,13,0,3,0,7,18,2,1,7,0,8,3,1,1,7,7,19,2,1,0,7,36,3,14,1,0,18,1,3,3,15,14,5
scale_continental,3,3,1,0,0,1,1,1,0,0,1,0,3,0,0,0,4,0,3,0,4,1,0,0,1,0,0,0,1,0,1,1,4,1,0,1,4,3,7,0,0,0,0,1,1,0,3,3,2
scale_local,6,17,2,2,1,2,2,0,0,1,6,2,5,1,1,0,15,0,6,0,10,9,1,0,2,0,5,1,1,2,6,2,15,2,0,0,4,14,0,25,0,0,0,0,3,2,15,5,4
scale_multiplanetary,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1
scale_multiversal,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0
scale_planetary,10,18,6,4,2,1,6,0,1,1,6,3,8,1,1,2,19,2,8,1,8,12,1,1,4,1,6,2,2,5,4,7,19,3,1,1,6,18,0,0,0,0,34,6,4,3,16,10,7
segregationism_social,0,6,1,0,0,0,0,1,1,1,0,1,2,0,0,1,4,1,4,1,1,0,0,0,0,1,0,0,0,2,1,1,5,0,0,0,0,1,1,0,0,0,6,7,0,0,5,2,3
type_environmental,4,1,3,1,1,2,1,0,0,0,2,0,4,0,0,0,2,0,2,0,4,3,0,0,0,0,2,1,1,0,1,2,2,3,0,1,1,3,1,3,0,0,4,0,8,0,0,0,2
type_metaphysical,4,3,0,0,0,0,0,0,0,0,2,1,1,0,1,0,5,0,2,0,5,1,0,0,0,1,0,1,1,1,2,1,3,0,1,0,0,3,0,2,0,2,3,0,0,7,0,0,1
type_subversion,8,22,4,3,2,2,3,1,1,2,7,3,9,1,0,2,23,1,9,1,10,7,2,0,3,1,6,0,1,6,5,5,20,3,1,0,8,15,3,15,0,0,16,5,0,0,34,0,5
type_war,4,13,2,2,0,0,5,0,0,1,2,1,3,1,1,0,10,1,4,0,5,10,0,0,3,0,3,1,2,0,3,2,14,0,0,1,5,14,3,5,1,0,10,2,0,0,0,19,5
use_of_force_civilians,2,9,3,0,0,0,3,1,0,2,1,1,4,0,0,1,7,1,5,0,5,4,0,1,2,0,1,1,0,1,3,1,8,2,0,0,2,5,2,4,1,0,7,3,2,1,5,5,14
